Manufacturer,Part Number,Voltage Rating (V),Current Rating (A),Coss (pF),"Rds,on (mOHms)",Qg (nC),Length (mm),Width (mm),Height (mm),Volume (mm^3),Price ($) ,Link,"FOM 1: (Coss*Rds,on*Volume"
GaN Systems,GS61004B,100,38,110,16,3.3,4.6,4.4,0.51,10.32,5.32,https://gansystems.com/wp-content/uploads/2020/04/GS61004B-DS-Rev-200402.pdf,1760
GaN Systems,GS61008B,100,90,250,7,8,7.6,4.6,0.51,17.83,9.03,https://gansystems.com/wp-content/uploads/2020/09/GS61008P-DS-Rev-200402.pdf,1750
GaN Systems,GS61008T,100,90,250,7,8,7,4,0.54,15.12,9.03,https://gansystems.com/wp-content/uploads/2020/04/GS61008T-DS-Rev-200402.pdf,1750
GaN Systems,GS-065-004-1-L,650,4,7,450,0.8,5,6,0.85,25.50,2.19,https://gansystems.com/wp-content/uploads/2021/04/GS-065-004-1-L-DS-Rev-210322.pdf,3150
GaN Systems,GS-065-008-1-L,650,8,14,225,1.5,5,6,0.85,25.50,2.62,https://gansystems.com/wp-content/uploads/2021/12/GS-065-008-1-L-DS-Rev-210104.pdf,3150
GaN Systems,GS-065-011-1-L,650,11,20,150,2.2,8,8,0.9,57.60,5.02,https://gansystems.com/wp-content/uploads/2021/09/GS-065-011-1-L-DS-Rev-210914.pdf,3000
GaN Systems,GS-065-011-2-L,650,11,20,150,2.2,8,8,0.9,57.60,3.5,https://gansystems.com/wp-content/uploads/2021/08/GS-065-011-2-L-DS-Rev-210714.pdf,3000
GaN Systems,GS-065-030-2-L,650,30,60,50,6.7,8,8,0.9,57.60,10.1,https://gansystems.com/wp-content/uploads/2021/08/GS-065-030-2-L-DS-Rev-210630.pdf,3000
GaN Systems,GS66502B,650,7.5,17,200,1.6,5,6.6,0.51,16.83,9.09,https://gansystems.com/wp-content/uploads/2020/04/GS66502B-DS-Rev-200402.pdf,3400
GaN Systems,GS66504B,650,15,31,100,3.3,5,6.6,0.51,16.83,10.76,https://gansystems.com/wp-content/uploads/2020/04/GS66504B-DS-Rev-200402.pdf,3100
GaN Systems,GS66506T,650,22.5,49,67,4.5,5.6,4.5,0.54,13.61,13.18,https://gansystems.com/wp-content/uploads/2020/04/GS66506T-DS-Rev-200402.pdf,3283
GaN Systems,GS66508B,650,30,65,50,6.1,7,8.4,0.51,29.99,15.98,https://gansystems.com/wp-content/uploads/2020/04/GS66508B-DS-Rev-200402.pdf,3250
GaN Systems,GS66508P,650,30,65,50,6.1,10,8.7,0.51,44.37,9.03,https://gansystems.com/wp-content/uploads/2019/05/GS66508P-DS-Rev-190524.pdf,3250
GaN Systems,GS66508T,650,30,65,50,6.1,7,4.5,0.54,17.01,15.98,https://gansystems.com/wp-content/uploads/2020/04/GS66508T-DS-Rev-200402.pdf,3250
GaN Systems,GS-065-060-5-B-A,650,60,127,25,14,11,9,0.63,62.37,,https://gansystems.com/wp-content/uploads/2021/12/GS-065-060-5-B-A-DS-Rev-211025.pdf,3175
GaN Systems,GS-065-060-5-T-A,650,60,127,25,14,9,7.6,0.69,47.20,,https://gansystems.com/wp-content/uploads/2022/01/GS-065-060-5-T-A-DS-Rev-220127.pdf,3175
GaN Systems,GS-065-060-3-B,650,60,127,25,14,11,9,0.45,44.55,26.25,https://gansystems.com/wp-content/uploads/2022/03/GS-065-060-3-B-DS-Rev-220131.pdf,3175
