Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.yuden.co.jp/productdata/catalog/mlcc06_e.pdf","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805-(2012-Metric)-1,45mm.jpg","587-2990-2-ND,587-2990-1-ND,587-2990-6-ND","TMK212AB7475KG-T","Taiyo Yuden","Taiyo Yuden","CAP CER 4.7UF 25V X7R 0805","0","0.31","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1206-(3216-Metric)-2,20mm-C-Series.jpg","445-1606-2-ND,445-1606-1-ND,445-1606-6-ND","C3216X7R1E475K160AC","TDK Corporation","TDK Corporation","CAP CER 4.7UF 25V X7R 1206","0","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/0805-(2012-Metric)-1,45mm-C-Series.jpg","445-5972-2-ND,445-5972-1-ND,445-5972-6-ND","C2012X7R1E475K125AB","TDK Corporation","TDK Corporation","CAP CER 4.7UF 25V X7R 0805","0","0.32","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1206-(3216-Metric)-2,20mm-C-Series.jpg","445-14797-2-ND,445-14797-1-ND,445-14797-6-ND","C3216X7R1E475K085AB","TDK Corporation","TDK Corporation","CAP CER 4.7UF 25V X7R 1206","0","0.09051","0","4000","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Not For New Designs","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.039"" (1.00mm)","-","-"
"https://www.yuden.co.jp/productdata/catalog/mlcc_all_hq_e.pdf","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1206-(3216-Metric)-0,90mm.jpg","587-3485-2-ND,587-3485-1-ND,587-3485-6-ND","TMK316AB7106KLHT","Taiyo Yuden","Taiyo Yuden","CAP CER 10UF 25V X7R 1206","0","0.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Active","10 µF","±10%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//media.digikey.com/Renders/AVX%20Renders/1206-(3216-Metric)-1,78mm-Q-Code.jpg","478-5996-2-ND,478-5996-1-ND,478-5996-6-ND","12063C475KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 4.7UF 25V X7R 1206","0","0.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.070"" (1.78mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-181405-2-ND,445-181405-1-ND,445-181405-6-ND","CGA4J1X7S1E106K125AC","TDK Corporation","TDK Corporation","CAP CER 10UF 25V X7S 0805","0","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10 µF","±10%","25V","X7S","-55°C ~ 125°C","Low ESL","AEC-Q200","Automotive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//media.digikey.com/Renders/AVX%20Renders/0805-(2012-Metric)-0,75mm.jpg","478-10056-2-ND,478-10056-1-ND,478-10056-6-ND","08053C475KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 4.7UF 25V X7R 0805","69,000","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.060"" (1.52mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1206-(3216-Metric)-2,20mm-C-Series.jpg","445-7705-2-ND,445-7705-1-ND,445-7705-6-ND","C3216X7R1E106K160AB","TDK Corporation","TDK Corporation","CAP CER 10UF 25V X7R 1206","0","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","10 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL32B226KAJNNNE_Spec.pdf","//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg","1276-3392-2-ND,1276-3392-1-ND,1276-3392-6-ND","CL32B226KAJNNNE","Samsung Electro-Mechanics","Samsung Electro-Mechanics","CAP CER 22UF 25V X7R 1210","0","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CL","Active","22 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1210-(3225-Metric)-2,80mm-C-Series.jpg","445-1434-2-ND,445-1434-2-NDL,445-1434-1-ND,445-1434-6-ND","C3225X7R1E106M250AC","TDK Corporation","TDK Corporation","CAP CER 10UF 25V X7R 1210","0","0.19448","0","1000","Tape & Reel (TR),Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Not For New Designs","10 µF","±20%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1210-(3225-Metric)-2,80mm-C-Series.jpg","445-3942-2-ND,445-3942-1-ND,445-3942-6-ND","C3225X7R1E106K250AC","TDK Corporation","TDK Corporation","CAP CER 10UF 25V X7R 1210","0","0.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","10 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL32B226KAJNFNE_Spec.pdf","//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/Ceramic-Capacitor-CL-Series.jpg","1276-3391-2-ND,1276-3391-1-ND,1276-3391-6-ND","CL32B226KAJNFNE","Samsung Electro-Mechanics","Samsung Electro-Mechanics","CAP CER 22UF 25V X7R 1210","0","0.73","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CL","Active","22 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//media.digikey.com/Renders/AVX%20Renders/1210-(3225-Metric)-2,79mm-Z-Code.jpg","478-5728-2-ND,478-5728-1-ND,478-5728-6-ND","12103C106KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10UF 25V X7R 1210","0","0.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","10 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.79mm)","-","-"
"https://datasheets.kyocera-avx.com/FlexitermMLCC.pdf","//media.digikey.com/Renders/AVX%20Renders/1210-(3225-Metric)-2,79mm-Z-Code.jpg","478-6129-2-ND,478-6129-1-ND,478-6129-6-ND","12103C106K4Z2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10UF 25V X7R 1210","9,024","0.94","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","FLEXITERM®","Active","10 µF","±10%","25V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.79mm)","-","-"
"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=TMK325B7226KMHP &u=M","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210-(3225-Metric)-2,70mm.jpg","587-5949-2-ND,587-5949-1-ND,587-5949-6-ND","TMK325B7226KMHP","Taiyo Yuden","Taiyo Yuden","CAP CER 22UF 25V X7R 1210","0","0.98","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Active","22 µF","±10%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=TMK325B7226MM-TR  &u=M","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210-(3225-Metric)-2,70mm.jpg","587-2784-2-ND,587-2784-1-ND,587-2784-6-ND","TMK325B7226MM-TR","Taiyo Yuden","Taiyo Yuden","CAP CER 22UF 25V X7R 1210","0","0.85","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Not For New Designs","22 µF","±20%","25V","X7R","-55°C ~ 125°C","-","-","SMPS Filtering","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf?ref_disty=digikey","//media.digikey.com/Renders/TDK%20Renders/1812-(4532-Metric)-1,55mm-C-Series.jpg","445-1607-2-ND,445-1607-1-ND,445-1607-6-ND","C4532X7R1E226M250KC","TDK Corporation","TDK Corporation","CAP CER 22UF 25V X7R 1812","0","0.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","22 µF","±20%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.110"" (2.80mm)","-","-"
"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=TMK325B7226KMHT  &u=M","//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210-(3225-Metric)-2,70mm.jpg","587-4337-2-ND,587-4337-1-ND,587-4337-6-ND","TMK325B7226KMHT","Taiyo Yuden","Taiyo Yuden","CAP CER 22UF 25V X7R 1210","0","1.03","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","M","Not For New Designs","22 µF","±10%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
"-","//media.digikey.com/Renders/Murata%20Renders/1210-(3225-Metric)-2,20mm-GCM-Series.jpg","490-GCM32EC71E226KE36LTR-ND,490-GCM32EC71E226KE36LCT-ND,490-GCM32EC71E226KE36LDKR-ND","GCM32EC71E226KE36L","Murata Electronics","Murata Electronics","CAP CER","910","1.5","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GCM","Active","22 µF","±10%","25V","X7S","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.112"" (2.85mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1812-(4532-Metric)-2.6.jpg","445-7910-2-ND,445-7910-1-ND,445-7910-6-ND","CGA8P1X7R1E226M250KC","TDK Corporation","TDK Corporation","CAP CER 22UF 25V X7R 1812","0","1.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","22 µF","±20%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.110"" (2.80mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","//media.digikey.com/Renders/TDK%20Renders/1210%20(3225%20Metric)%202.5.jpg","445-180363-2-ND,445-180363-1-ND,445-180363-6-ND","CGA6P3X7R1E226M250AB","TDK Corporation","TDK Corporation","CAP CER 22UF 25V X7R 1210","0","1.76","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","22 µF","±20%","25V","X7R","-55°C ~ 125°C","Low ESL","AEC-Q200","Automotive","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.110"" (2.80mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//media.digikey.com/Renders/AVX%20Renders/1210-(3225-Metric)-2,79mm-Z-Code.jpg","478-9964-2-ND,478-9964-1-ND,478-9964-6-ND","12103C226KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 22UF 25V X7R 1210","0","1.63","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.130"" L x 0.098"" W (3.30mm x 2.50mm)","-","0.110"" (2.79mm)","-","-"
