Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188C81E475KE11-01.pdf","//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric)-1,00mm.jpg","490-7199-2-ND,490-7199-1-ND,490-7199-6-ND","GRM188C81E475KE11D","Murata Electronics","Murata Electronics","CAP CER 4.7UF 25V X6S 0603","0","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRM","Active","4.7 µF","±10%","25V","X6S","-55°C ~ 105°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.039"" (1.00mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188C81E475ME11-01.pdf","//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric)-1,00mm.jpg","490-10023-2-ND,490-10023-1-ND,490-10023-6-ND","GRM188C81E475ME11D","Murata Electronics","Murata Electronics","CAP CER 4.7UF 25V X6S 0603","0","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRM","Active","4.7 µF","±20%","25V","X6S","-55°C ~ 105°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.039"" (1.00mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C1206X7R101-393MNE.jpg","2679-C1206X7R250-475MNETR-ND","C1206X7R250-475MNE","Venkel","Venkel","CAP CER 4.7UF 25V X7R 1206","0","0.05711","0","2000","Tape & Reel (TR)","C","Active","4.7 µF","±20%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.070"" (1.78mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C1206X7R101-393MNE.jpg","2679-C1206X7R250-475KNETR-ND","C1206X7R250-475KNE","Venkel","Venkel","CAP CER 4.7UF 25V X7R 1206","0","0.05711","0","2000","Tape & Reel (TR)","C","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.070"" (1.78mm)","-","-"
"https://page.venkel.com/hubfs/Resources/Datasheets/C-Series.pdf","//media.digikey.com/Photos/Venkel/MFG_C1206C0G500-101JNP.jpg","2679-C1206X7R250-475KNUTR-ND","C1206X7R250-475KNU","Venkel","Venkel","CAP CER 4.7UF 25V X7R 1206","0","0.05711","0","8000","Tape & Reel (TR)","C","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.070"" (1.78mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C1206C475K3RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-C1206C475K3RAC7800TR-ND,399-C1206C475K3RAC7800CT-ND,399-C1206C475K3RAC7800DKR-ND","C1206C475K3RAC7800","KEMET","KEMET","CAP CER 4.7UF 25V X7R 1206","0","0.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","4.7 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf","//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg","311-1884-2-ND,311-1884-1-ND,311-1884-6-ND","CC0805KKX7R8BB225","YAGEO","YAGEO","CAP CER 2.2UF 25V X7R 0805","0","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","2.2 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31MR71E225KA93-01.pdf","//media.digikey.com/Renders/Murata%20Renders/1206-(3216-Metric)-1,25mm.jpg","490-11642-2-ND,490-11642-1-ND,490-11642-6-ND","GRM31MR71E225KA93K","Murata Electronics","Murata Electronics","CAP CER 2.2UF 25V X7R 1206","0","0.08184","0","10000","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GRM","Not For New Designs","2.2 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.049"" (1.25mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf","//media.digikey.com/Photos/Yageo%20Photos/CCSeries-01005.jpg","13-CC0805KKX6S8BB475TR-ND,13-CC0805KKX6S8BB475CT-ND,13-CC0805KKX6S8BB475DKR-ND","CC0805KKX6S8BB475","YAGEO","YAGEO","CAP CER 4.7UF 25V X6S 0805","0","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","4.7 µF","±10%","25V","X6S","-55°C ~ 105°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C1206C475M3RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-C1206C475M3RAC7800TR-ND,399-C1206C475M3RAC7800CT-ND,399-C1206C475M3RAC7800DKR-ND","C1206C475M3RAC7800","KEMET","KEMET","CAP CER 4.7UF 25V X7R 1206","0","0.38","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMD Comm X7R","Active","4.7 µF","±20%","25V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
