Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/NTS_NTF_Series_E1002W.pdf","//media.digikey.com/Renders/United%20Chemi-Con%20Renders/NTS-Series-1812(4532-Metric).jpg","565-KTF250B156M43NHT00TR-ND","KTF250B156M43NHT00","United Chemi-Con","United Chemi-Con","CAP CER 15UF 25V X7R 1812","0","Active","0","0","Tape & Reel (TR)","NTF","Active","15 µF","±20%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.110"" (2.80mm)","-","-"
"//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/NTS_NTF_Series_E1002W.pdf","//media.digikey.com/Renders/United%20Chemi-Con%20Renders/NTS-Series-1812(4532-Metric).jpg","KTF250B226M55N0T00-ND","KTF250B226M55N0T00","United Chemi-Con","United Chemi-Con","CAP CER 22UF 25V X7R 2220","0","Active","0","0","Tape & Reel (TR)","NTF","Active","22 µF","±20%","25V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.110"" (2.80mm)","-","-"
"//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/C_Series_GeneralAppl_B11.pdf","//media.digikey.com/Renders/TDK%20Renders/1210-(3225-Metric)-2,80mm-C-Series.jpg","445-3937-2-ND,445-3937-1-ND,445-3937-6-ND","C3225X7R1E225K/1.60","TDK Corporation","TDK Corporation","CAP CER 2.2UF 25V X7R 1210","0","Obsolete","0","0","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Obsolete","2.2 µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.071"" (1.80mm)","-","-"
"https://datasheets.kyocera-avx.com/MH_CeramicCapacitor.pdf","//media.digikey.com/photos/AVX%20Photos/MH%20Series_7361-38%20(EIA).JPG","478-5423-2-ND,478-5423-1-ND,478-5423-6-ND","MHV13C226MAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 22UF 25V X7R SMD","0","Active","0","0","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MH","Active","22 µF","±20%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","SMD, J-Lead","0.287"" L x 0.240"" W (7.30mm x 6.10mm)","-","0.148"" (3.75mm)","-","J-Lead"
"https://datasheets.kyocera-avx.com/MH_CeramicCapacitor.pdf","//media.digikey.com/photos/AVX%20Photos/MH%20Series_7361-38%20(EIA).JPG","478-5424-2-ND,478-5424-1-ND,478-5424-6-ND","MHV13C106MAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10UF 25V X7R SMD","0","Active","0","0","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MH","Active","10 µF","±20%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","SMD, J-Lead","0.287"" L x 0.240"" W (7.30mm x 6.10mm)","-","0.148"" (3.75mm)","-","J-Lead"
"//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/RDE%20Series.pdf","//media.digikey.com/photos/Murata%20Photos/RDE%20SERIES%201%20Case.JPG","490-5384-ND","RDEC71E225K1K1C03B","Murata Electronics","Murata Electronics","CAP CER 2.2UF 25V X7S RADIAL","0","Obsolete","0","0","Bulk","RDE","Obsolete","2.2 µF","±10%","25V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.177"" L x 0.124"" W (4.50mm x 3.15mm)","0.197"" (5.00mm)","-","0.197"" (5.00mm)","Formed Leads"
"//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/Radial%20Lead%20Type%20Monolithic%20Part%20Numbering.pdf","//media.digikey.com/photos/Murata%20Photos/RDE%20SERIES%205.5X3.15mm.JPG","490-5385-ND","RDEC71E475K2K1C03B","Murata Electronics","Murata Electronics","CAP CER 4.7UF 25V X7S RADIAL","0","Obsolete","0","0","Bulk","RDE","Obsolete","4.7 µF","±10%","25V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.124"" W (5.50mm x 3.15mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Formed Leads"
"//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/RDE%20Series.pdf","//media.digikey.com/photos/Murata%20Photos/RDE%20SERIES%205.5X3.15mm.JPG","490-5386-ND","RDEC71E106K2K1C03B","Murata Electronics","Murata Electronics","CAP CER 10UF 25V X7S RADIAL","0","Obsolete","0","0","Bulk","RDE","Obsolete","10 µF","±10%","25V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.124"" W (5.50mm x 3.15mm)","0.236"" (6.00mm)","-","0.197"" (5.00mm)","Formed Leads"
"//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/RDE%20Series.pdf","//media.digikey.com/Photos/Murata%20Photos/RDE%20SERIES%205.5mm.jpg","490-5387-ND","RDEC71E226K3K1C03B","Murata Electronics","Murata Electronics","CAP CER 22UF 25V X7S RADIAL","0","Obsolete","0","0","Bulk","RDE","Obsolete","22 µF","±10%","25V","X7S","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.157"" W (5.50mm x 4.00mm)","0.295"" (7.50mm)","-","0.197"" (5.00mm)","Formed Leads"
"https://api.kemet.com/component-edge/download/datasheet/C1206X475M3RACTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/1206-(3216-Metric)-3,20x1,60x1,80mm.jpg","399-C1206X475M3RAC7800TR-ND","C1206X475M3RAC7800","KEMET","KEMET","CAP CER 4.7UF 25V X7R 1206","0","Active","0","0","Tape & Reel (TR)","SMD Comm X7R Flex","Active","4.7 µF","±20%","25V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.130"" L x 0.063"" W (3.30mm x 1.60mm)","-","0.071"" (1.80mm)","-","-"
