Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx","//media.digikey.com/Renders/Knowles%20Syfer/2220-(5750-Metric)-4,2mm-Tan.jpg","2220J0500155KXT-ND","2220J0500155KXT","Knowles Syfer","Knowles Syfer","CAP CER 1.5UF 50V X7R 2220","0","1.62682","0","1000","Tape & Reel (TR)","-","Active","1.5 µF","±10%","50V","X7R (2R1)","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.098"" (2.50mm)","-","-"
"https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx","//media.digikey.com/Renders/Knowles%20Syfer/2220-(5750-Metric)-4,2mm-Tan.jpg","2220J0630155KXT-ND","2220J0630155KXT","Knowles Syfer","Knowles Syfer","CAP CER 1.5UF 63V X7R 2220","0","1.62682","0","1000","Tape & Reel (TR)","-","Active","1.5 µF","±10%","63V","X7R (2R1)","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.098"" (2.50mm)","-","-"
"https://datasheets.kyocera-avx.com/SR-Series.pdf","//media.digikey.com/photos/AVX%20Photos/SKYCAP%20SR%20SERIES%207.62H,7.62L.jpg","SR305C225KARTR1-ND","SR305C225KARTR1","KYOCERA AVX","KYOCERA AVX","CAP CER 2.2UF 50V X7R RADIAL","0","1.63435","0","2000","Tape & Reel (TR)","SkyCap® SR","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.300"" L x 0.150"" W (7.62mm x 3.81mm)","0.360"" (9.14mm)","-","0.200"" (5.08mm)","Straight"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C324C475K5R5TA","-","399-C324C475K5R5TA-ND","C324C475K5R5TA","KEMET","KEMET","CAP CER 4.7UF 50V X7R RADIAL","0","1.6456","0","500","Bulk","GoldMax 300 Comm X7R","Active","4.7 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Through Hole","Radial","0.200"" L x 0.125"" W (5.08mm x 3.18mm)","0.230"" (5.84mm)","-","0.100"" (2.54mm)","Formed Leads - Kinked"
"https://www.murata.com/-/media/webrenewal/support/library/catalog/products/capacitor/ceramiccapacitor/c03e.ashx?la=en-us&cvid=20200707014404000000","//media.digikey.com/Photos/Murata%20Photos/KCM55LR72A475KH01K.JPG","KCM55LR71J475KH01K-ND","KCM55LR71J475KH01K","Murata Electronics","Murata Electronics","CAP CER 4.7UF 63V X7R 2220","0","1.65051","0","2000","Tape & Reel (TR)","KCM","Active","4.7 µF","±10%","63V","X7R","-55°C ~ 125°C","-","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","SMD, J-Lead","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.110"" (2.80mm)","-","J-Lead"
"https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx","//media.digikey.com/Renders/Knowles%20Syfer/2220-(5750-Metric)-4,2mm-Tan.jpg","2220J0500105JXT-ND","2220J0500105JXT","Knowles Syfer","Knowles Syfer","CAP CER 1UF 50V X7R 2220","0","1.65355","0","1000","Tape & Reel (TR)","-","Active","1 µF","±5%","50V","X7R (2R1)","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.098"" (2.50mm)","-","-"
"https://www.knowlescapacitors.com/getattachment/2dbfc8bc-e2b3-4b4d-afb1-43b011b9ebe0/High-Std-Voltage.aspx","//media.digikey.com/Renders/Knowles%20Syfer/2220-(5750-Metric)-4,2mm-Tan.jpg","2220J0630105JXT-ND","2220J0630105JXT","Knowles Syfer","Knowles Syfer","CAP CER 1UF 63V X7R 2220","0","1.65355","0","1000","Tape & Reel (TR)","-","Active","1 µF","±5%","63V","X7R (2R1)","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.098"" (2.50mm)","-","-"
"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812X105K5RACAUTO","//media.digikey.com/Renders/Kemet%20Renders/1812-(4532).jpg","399-C1812X105K5RACAUTOTR-ND,399-C1812X105K5RACAUTOCT-ND","C1812X105K5RACAUTO","KEMET","KEMET","CAP CER 1UF 50V X7R 1812","0","1.66023","0","1000","Tape & Reel (TR),Cut Tape (CT)","SMD Auto X7R Flex","Active","1 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.055"" (1.40mm)","-","-"
"https://api.kemet.com/component-edge/download/datasheet/C1812C105J5RALTU.pdf","//media.digikey.com/Renders/Kemet%20Renders/1812-(4532-Metric)-4,50x3,20x2,7mm.jpg","399-C1812C105J5RAL7800TR-ND","C1812C105J5RAL7800","KEMET","KEMET","CAP CER 1UF 50V X7R 1812","0","1.67062","0","1000","Tape & Reel (TR)","SMD Comm X7R SnPb","Active","1 µF","±5%","50V","X7R","-55°C ~ 125°C","-","-","Bypass, Decoupling","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","-","0.055"" (1.40mm)","-","-"
"https://datasheets.kyocera-avx.com/SR-Series.pdf","//media.digikey.com/photos/AVX%20Photos/SKYCAP%20SR%20SERIES%207.62H,7.62L.jpg","SR305C225KAA-ND","SR305C225KAA","KYOCERA AVX","KYOCERA AVX","CAP CER 2.2UF 50V X7R RADIAL","0","1.69721","0","1000","Bulk","SkyCap® SR","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.300"" L x 0.150"" W (7.62mm x 3.81mm)","0.360"" (9.14mm)","-","0.200"" (5.08mm)","Straight"
