Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://www.we-online.com/catalog/datasheet/750343810.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_750343810.jpg","732-13945-ND","750343810","Würth Elektronik","Würth Elektronik","FIXED IND 340UH 15A 50 MOHM TH","368","59","0","1","Tray","MID-FLT","Active","Toroidal","-","340 µH","±20%","15 A","24A","Unshielded","50mOhm Max","-","-","-","-40°C ~ 125°C","10 kHz","-","Through Hole","Radial, Horizontal (Open)","-","2.657"" Dia (67.50mm)","1.570"" (39.88mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM1568-ND","195E20","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 2.5MH 20A 22 MOHM CHAS","57","77.91","0","1","Bulk","195","Active","-","-","2.5 mH","±15%","20 A","-","Unshielded","22mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","3.750"" L x 4.200"" W (95.25mm x 106.68mm)","3.130"" (79.50mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM2132-ND","195E30","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 2.5MH 30A 13 MOHM CHAS","34","121.18","0","1","Bulk","195","Active","-","-","2.5 mH","±15%","30 A","-","Unshielded","13mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","4.500"" L x 5.250"" W (114.30mm x 133.35mm)","3.750"" (95.25mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM4808-ND","195C50","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 1MH 50A 5MOHM CHAS MNT","41","148.88","0","1","Bulk","195","Active","-","-","1 mH","±15%","50 A","-","Unshielded","5mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","4.500"" L x 5.250"" W (114.30mm x 133.35mm)","3.750"" (95.25mm)"
"//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/S14100032.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/S14100032.JPG","732-7166-ND","S14100032","Würth Elektronik","Würth Elektronik","FIXED IND 150UH 10A 21 MOHM TH","480","6.03","0","1","Tray","WE-LCB","Active","Toroidal","Iron Powder","150 µH","±20%","10 A","-","Unshielded","21mOhm Max","-","-","-","-40°C ~ 125°C","100 kHz","-","Through Hole","Radial, Horizontal (Open)","-","1.516"" L x 1.496"" W (38.50mm x 38.00mm)","0.709"" (18.00mm)"
"https://abracon.com/Magnetics/new/ATCASeries.pdf","//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ATCA-08-H.jpg","535-13511-ND","ATCA-08-251M-H","Abracon LLC","Abracon LLC","FIXED IND 250UH 10A 27 MOHM TH","3,091","8.92","0","1","Tray","ATCA","Active","Toroidal","Iron Powder","250 µH","±20%","10 A","-","Unshielded","27mOhm Max","-","-","-","-40°C ~ 105°C","1 kHz","-","Through Hole","Radial, Horizontal (Open)","-","1.673"" Dia (42.50mm)","0.846"" (21.50mm)"
"https://www.we-online.com/katalog/datasheet/74437529203101.pdf","//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74437429203101.JPG","732-11715-ND","74437529203101","Würth Elektronik","Würth Elektronik","FIXED IND 100UH 11.2A 22.9 MOHM","1,600","9.16","0","1","Tray","WE-HCF","Active","Wirewound","Manganese Zinc Ferrite (MnZn)","100 µH","±20%","11.2 A","9.4A","Shielded","22.9mOhm","-","4.3MHz","-","-40°C ~ 125°C","100 kHz","-","Surface Mount","Nonstandard","2920","1.102"" L x 0.984"" W (28.00mm x 25.00mm)","0.807"" (20.50mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM4816-ND","195J20","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 10MH 20A 45 MOHM CHASS","57","164.45","0","1","Bulk","195","Active","-","-","10 mH","±15%","20 A","-","Unshielded","45mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","5.250"" L x 5.500"" W (133.35mm x 139.70mm)","4.470"" (113.54mm)"
"https://belfuse.com/resources/datasheets/signaltransformer/ds-st-high-current-torodial-inductors-series.pdf","//media.digikey.com/Photos/Bel%20Photos/MFG_HCTI-Series.jpg","595-1726-ND","HCTI-56-10.2","Signal Transformer","Signal Transformer","FIXED IND 56UH 10.2A 17 MOHM TH","1,256","3.1","0","1","Tray","HCTI","Active","Toroidal","-","56 µH","±15%","10.2 A","-","Shielded","17mOhm Max","-","-","-","-55°C ~ 105°C","1 kHz","-","Through Hole","Radial, Vertical (Open)","-","1.280"" Dia x 0.650"" W (32.51mm x 16.51mm)","-"
"https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/pa4349.102anlt","//media.digikey.com/Renders/Pulse%20Renders/PA4349.JPG","553-4051-2-ND,553-4051-1-ND,553-4051-6-ND","PA4349.823ANLT","Pulse Electronics Power","Pulse Electronics Power","FIXED IND 82UH 12A 34.2 MOHM SMD","1,037","7.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PA4349.XXXANLT","Active","Molded","-","82 µH","±20%","12 A","9A","Shielded","34.2mOhm Max","-","-","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.925"" L x 0.866"" W (23.50mm x 22.00mm)","0.512"" (13.00mm)"
