Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV28BZ60-ND","IHV28BZ60","Vishay Dale","Vishay Dale","FIXED IND 60UH 28A 8.5 MOHM TH","12","16.38","0","1","-","IHV","Active","-","Iron","60 µH","±10%","28 A","-","Unshielded","8.5mOhm Max","-","1.9MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.020"" Dia x 2.450"" L (25.91mm x 62.23mm)","-"
"https://www.vishay.com/docs/34353/ihlp8787mz51.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-51.jpg","541-IHLP8787MZER750M51TR-ND,541-IHLP8787MZER750M51CT-ND,541-IHLP8787MZER750M51DKR-ND","IHLP8787MZER750M51","Vishay Dale","Vishay Dale","FIXED IND 75UH 12A 32.35 MOHM SM","209","10.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-51","Active","Molded","-","75 µH","±20%","12 A","12A","Shielded","32.35mOhm Max","-","2.01MHz","-","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34353/ihlp8787mz51.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-51.jpg","541-IHLP8787MZER820M51TR-ND,541-IHLP8787MZER820M51CT-ND,541-IHLP8787MZER820M51DKR-ND","IHLP8787MZER820M51","Vishay Dale","Vishay Dale","FIXED IND 82UH 10.2A 34.2MOHM SM","200","12.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-51","Active","Molded","-","82 µH","±20%","10.2 A","9A","Shielded","34.2mOhm Max","-","2.07MHz","-","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34350/ihlp8787mz5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-5.jpg","541-IHLP8787MZER470M5ATR-ND,541-IHLP8787MZER470M5ACT-ND,541-IHLP8787MZER470M5ADKR-ND","IHLP8787MZER470M5A","Vishay Dale","Vishay Dale","IHLP-8787MZ-5A 47 20% ER E3","9","10.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-5A","Active","-","Metal Composite","47 µH","±20%","13.5 A","10A","Shielded","17.7mOhm Max","-","2.99MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34350/ihlp8787mz5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-5.jpg","541-IHLP8787MZER820M5ATR-ND,541-IHLP8787MZER820M5ACT-ND,541-IHLP8787MZER820M5ADKR-ND","IHLP8787MZER820M5A","Vishay Dale","Vishay Dale","FIXED IND 82UH 10.2A 34.2MOHM SM","200","10.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-5A","Active","Molded","-","82 µH","±20%","10.2 A","9A","Shielded","34.2mOhm Max","-","2.07MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34349/ihth-1125kz-5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/IHTH1125KZEB470M5A.jpg","IHTH1125KZEB470M5A-ND","IHTH1125KZEB470M5A","Vishay Dale","Vishay Dale","FIXED IND 47UH 14A 14.6 MOHM TH","100","9.9","0","1","Bulk","IHTH-1125KZ-5A","Active","-","Metal Composite","47 µH","±20%","14 A","16.2A","Shielded","14.6mOhm Max","-","2.99MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.125"" Dia (28.58mm)","0.433"" (11.00mm)"
"https://www.vishay.com/docs/34350/ihlp8787mz5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-5.jpg","541-IHLP8787MZER750M5ATR-ND,541-IHLP8787MZER750M5ACT-ND,541-IHLP8787MZER750M5ADKR-ND","IHLP8787MZER750M5A","Vishay Dale","Vishay Dale","FIXED IND 75UH 12A 32.35 MOHM","80","10.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-5A","Active","Molded","-","75 µH","±20%","12 A","12A","Shielded","32.35mOhm Max","-","2.01MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34013/ih.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/IH10BQ101K.jpg","541-2550-ND","IH10BQ101K","Vishay Dale","Vishay Dale","FIXED IND 100UH 10A 30 MOHM TH","45","11.56","0","1","Bulk","IH","Active","Wirewound","Ferrite","100 µH","±10%","10 A","7A","Unshielded","30mOhm Max","-","-","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","0.935"" Dia x 1.625"" L (23.75mm x 41.28mm)","-"
"https://www.vishay.com/docs/34013/ih.pdf","-","IH10EB101K-ND","IH10EB101K","Vishay Dale","Vishay Dale","FIXED IND 100UH 10A 30 MOHM TH","0","11.26","0","1","-","IH","Active","Wirewound","Ferrite","100 µH","±10%","10 A","7A","Unshielded","30mOhm Max","-","-","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","0.935"" Dia x 1.625"" L (23.75mm x 41.28mm)","-"
"https://www.vishay.com/docs/34022/ihv.pdf","-","IHV50BZ50-ND","IHV50BZ50","Vishay Dale","Vishay Dale","FIXED IND 50UH 50A 4.5 MOHM TH","0","36.56","0","1","-","IHV","Active","-","Iron","50 µH","±10%","50 A","-","Unshielded","4.5mOhm Max","-","3.1MHz","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","-","1.570"" Dia x 2.550"" L (39.88mm x 64.77mm)","-"
